iteration acc
0 0.148835
100 0.385868
200 0.406414
300 0.429717
400 0.397394
500 0.425958
600 0.414683
700 0.43548
800 0.403157
900 0.379855
1000 0.443247
1100 0.437484
1200 0.443748
1300 0.455274
1400 0.437484
1500 0.456026
1600 0.465798
1700 0.440742
1800 0.455525
1900 0.463292
2000 0.473315
2100 0.447507
2200 0.458031
2300 0.481584
2400 0.461288
2500 0.436482
2600 0.480832
2700 0.486094
2800 0.48459
2900 0.485091
3000 0.482586
3100 0.482335
3200 0.481082
3300 0.484841
3400 0.505137
3500 0.475319
3600 0.387372
3700 0.446003
3800 0.411426
3900 0.416688
4000 0.420697
4100 0.419444
4200 0.437985
4300 0.464545
4400 0.44425
4500 0.421198
4600 0.421699
4700 0.42671
4800 0.434728
4900 0.445502
5000 0.456778
5100 0.448259
5200 0.441994
5300 0.41794
5400 0.474818
5500 0.464796
5600 0.43097
5700 0.45327
5800 0.437985
5900 0.483588
6000 0.479579
6100 0.452769
6200 0.495114
6300 0.477324
6400 0.507141
6500 0.479328
6600 0.481584
6700 0.489602
6800 0.483338
6900 0.459785
7000 0.468053
7100 0.492859
7200 0.484841
7300 0.483588
7400 0.50238
7500 0.482586
7600 0.490854
7700 0.450263
7800 0.474568
7900 0.466299
8000 0.476071
8100 0.443498
8200 0.465297
8300 0.495365
8400 0.511401
8500 0.48885
8600 0.493611
8700 0.510148
8800 0.474818
8900 0.465046
9000 0.473315
9100 0.499374
9200 0.525432
9300 0.505888
9400 0.499123
9500 0.467301
9600 0.495114
9700 0.504886
9800 0.464545
9900 0.531195
10000 0.544726
10100 0.5109
10200 0.522676
10300 0.523428
10400 0.498872
10500 0.548234
10600 0.506139
10700 0.52869
10800 0.533701
10900 0.517915
11000 0.538462
11100 0.537459
11200 0.541719
11300 0.534452
11400 0.550489
11500 0.554498
11600 0.571035
11700 0.531195
11800 0.4891
11900 0.535204
12000 0.52869
12100 0.537459
12200 0.55575
12300 0.551992
12400 0.554748
12500 0.534954
12600 0.53771
12700 0.529191
12800 0.562516
12900 0.572538
13000 0.541218
13100 0.517414
13200 0.516412
13300 0.575796
13400 0.556001
13500 0.568028
13600 0.558256
13700 0.563267
13800 0.545728
13900 0.576046
14000 0.584565
14100 0.562516
14200 0.575545
14300 0.572037
14400 0.574292
14500 0.564019
14600 0.557003
14700 0.557254
14800 0.580055
14900 0.545978
15000 0.580807
15100 0.556502
15200 0.571536
15300 0.584565
15400 0.571787
15500 0.588324
15600 0.578802
15700 0.570033
15800 0.59559
15900 0.572037
16000 0.595841
16100 0.590579
16200 0.57354
16300 0.594838
16400 0.578301
16500 0.565773
16600 0.589075
16700 0.579053
16800 0.574793
16900 0.59534
17000 0.593084
17100 0.584064
17200 0.584315
17300 0.585568
17400 0.589827
17500 0.589827
17600 0.590078
17700 0.592082
17800 0.607617
17900 0.587071
18000 0.604861
18100 0.602105
18200 0.571285
18300 0.609121
18400 0.606865
18500 0.584315
18600 0.603859
18700 0.59133
18800 0.611376
18900 0.605613
19000 0.587823
19100 0.592333
19200 0.608118
19300 0.616637
19400 0.616637
19500 0.600601
19600 0.609371
19700 0.601854
19800 0.602606
19900 0.62215
20000 0.601353
20100 0.61313
20200 0.612127
20300 0.604109
20400 0.608619
20500 0.614633
20600 0.61764
20700 0.61338
20800 0.630418
20900 0.63117
21000 0.605111
21100 0.632423
21200 0.629416
21300 0.631671
21400 0.636933
21500 0.61313
21600 0.624154
21700 0.624655
21800 0.631421
21900 0.630669
22000 0.627662
22100 0.628664
22200 0.6001
22300 0.637935
22400 0.636683
22500 0.59985
22600 0.625157
22700 0.629416
22800 0.63543
22900 0.630168
23000 0.612127
23100 0.639689
23200 0.63543
23300 0.621899
23400 0.636432
23500 0.629166
23600 0.633676
23700 0.625407
23800 0.642947
23900 0.630168
24000 0.636432
24100 0.624906
24200 0.644951
24300 0.645202
24400 0.642696
24500 0.632423
24600 0.607868
24700 0.625908
24800 0.647958
24900 0.632924
25000 0.637184
