iteration acc
0 0.0493611
100 0.678026
200 0.551491
300 0.797294
400 0.80456
500 0.831371
600 0.848659
700 0.873966
800 0.872212
900 0.871711
1000 0.877975
1100 0.85342
1200 0.893009
1300 0.872964
1400 0.904535
1500 0.920321
1600 0.947632
1700 0.956151
1800 0.969431
1900 0.975194
2000 0.978702
2100 0.983212
2200 0.986219
2300 0.988223
2400 0.99098
2500 0.990228
2600 0.990479
2700 0.991982
2800 0.992233
2900 0.990729
3000 0.991481
3100 0.993485
3200 0.993986
3300 0.994237
3400 0.994738
3500 0.992984
3600 0.996492
3700 0.992984
3800 0.994989
3900 0.995239
4000 0.994237
4100 0.994738
4200 0.99549
4300 0.994989
4400 0.994488
4500 0.995239
4600 0.993986
4700 0.994488
4800 0.992233
4900 0.988975
5000 0.987472
5100 0.994989
5200 0.994989
5300 0.989727
5400 0.994989
5500 0.993736
5600 0.994488
5700 0.992483
5800 0.996743
5900 0.996242
6000 0.996492
6100 0.994738
6200 0.996242
6300 0.996242
6400 0.996492
6500 0.997244
6600 0.996242
6700 0.997244
6800 0.997494
6900 0.996242
7000 0.997745
7100 0.997494
7200 0.996492
7300 0.995991
7400 0.996993
7500 0.997244
7600 0.997244
7700 0.997745
7800 0.996743
7900 0.997745
8000 0.998246
8100 0.997244
8200 0.997995
8300 0.997995
8400 0.997244
8500 0.998246
8600 0.998246
8700 0.997494
8800 0.997494
8900 0.997995
9000 0.998246
9100 0.998246
9200 0.998246
9300 0.997745
9400 0.997995
9500 0.998497
9600 0.998246
9700 0.997494
9800 0.998246
9900 0.997494
10000 0.997494
10100 0.997244
10200 0.998246
10300 0.998246
10400 0.998246
10500 0.998497
10600 0.997995
10700 0.998497
10800 0.996993
10900 0.998246
11000 0.997745
11100 0.998497
11200 0.997995
11300 0.998246
11400 0.997995
11500 0.998497
11600 0.998497
11700 0.998246
11800 0.997494
11900 0.997995
12000 0.998246
12100 0.998497
12200 0.997995
12300 0.997494
12400 0.997995
12500 0.997995
12600 0.998497
12700 0.997995
12800 0.998246
12900 0.998246
13000 0.998246
13100 0.997995
13200 0.998246
13300 0.997995
13400 0.997745
13500 0.997494
13600 0.997995
13700 0.998246
13800 0.997494
13900 0.998497
14000 0.998246
14100 0.997745
14200 0.997995
14300 0.998246
14400 0.997745
14500 0.998246
14600 0.997995
14700 0.996993
14800 0.997995
14900 0.998497
15000 0.997745
15100 0.997494
15200 0.998246
15300 0.997745
15400 0.998246
15500 0.997745
15600 0.997995
15700 0.998497
15800 0.997995
15900 0.997745
16000 0.998246
16100 0.997494
16200 0.998497
16300 0.997244
16400 0.996492
16500 0.997995
16600 0.997745
16700 0.998497
16800 0.997745
16900 0.997995
17000 0.998497
17100 0.997745
17200 0.997995
17300 0.998246
17400 0.998246
17500 0.997745
17600 0.997745
17700 0.998497
17800 0.997995
17900 0.998246
18000 0.997745
18100 0.997244
18200 0.996993
18300 0.998246
18400 0.996743
18500 0.997244
18600 0.998246
18700 0.995991
18800 0.997995
18900 0.998497
19000 0.997995
19100 0.997494
19200 0.997745
19300 0.998497
19400 0.997494
19500 0.997244
19600 0.997745
19700 0.997745
19800 0.998246
19900 0.997244
20000 0.998246
20100 0.997995
20200 0.997745
20300 0.998497
20400 0.997745
20500 0.997995
20600 0.995239
20700 0.998246
20800 0.998497
20900 0.997995
21000 0.998246
21100 0.998246
21200 0.998246
21300 0.997995
21400 0.998246
21500 0.996242
21600 0.998246
21700 0.997995
21800 0.997995
21900 0.997995
22000 0.998246
22100 0.998497
22200 0.998246
22300 0.997995
22400 0.998246
22500 0.997494
22600 0.997494
22700 0.997995
22800 0.998246
22900 0.998497
23000 0.998246
23100 0.998246
23200 0.997995
23300 0.997494
23400 0.997745
23500 0.995991
23600 0.996993
23700 0.998246
23800 0.998497
23900 0.997995
24000 0.996743
24100 0.997745
24200 0.998246
24300 0.998497
24400 0.998246
24500 0.997244
24600 0.998246
24700 0.996993
24800 0.998246
24900 0.998246
25000 0.997995
